theta,model,initial,path,negative_endpoint,crossed_zero,committed_switch,crossing_return,unresolved_transition,first_switch_time,censored,endpoint_mz
0.11,R1,0,0,1,1,1,0,0,4560.0,0,-0.8569689536094666
0.11,R1,0,1,1,1,1,0,0,7200.0,0,-0.7397049081325531
0.11,R1,0,2,0,0,0,0,0,,1,0.8697822570800782
0.11,R1,0,3,0,1,0,1,0,,1,0.842132408618927
0.11,R1,0,4,0,0,0,0,0,,1,0.8568113207817077
0.11,R1,0,5,0,0,0,0,0,,1,0.7739947932958603
0.11,R1,0,6,0,0,0,0,0,,1,0.8963816237449646
0.11,R1,0,7,1,1,1,0,0,11840.0,0,-0.874244658946991
0.11,R1,0,8,0,0,0,0,0,,1,0.8445011746883392
0.11,R1,0,9,0,1,0,1,0,,1,0.6602006728202104
0.11,R1,0,10,1,1,1,0,0,6640.0,0,-0.7438387703895569
0.11,R1,0,11,1,1,1,0,0,1520.0,0,-0.9184172964096069
0.11,R1,0,12,0,0,0,0,0,,1,0.8438418102264404
0.11,R1,0,13,0,1,0,1,0,,1,0.9043762063980103
0.11,R1,0,14,1,1,1,0,0,13200.0,0,-0.8100125777721405
0.11,R1,0,15,0,0,0,0,0,,1,0.8353061747550964
0.11,R1,1,0,0,0,0,0,0,,1,0.8098887348175049
0.11,R1,1,1,0,0,0,0,0,,1,0.7740670108795166
0.11,R1,1,2,0,0,0,0,0,,1,0.8894614243507385
0.11,R1,1,3,1,1,1,0,0,10000.0,0,-0.8348073506355286
0.11,R1,1,4,0,0,0,0,0,,1,0.9097696304321289
0.11,R1,1,5,1,1,1,0,0,10320.0,0,-0.8581593406200408
0.11,R1,1,6,1,1,1,0,0,2240.0,0,-0.8968339061737061
0.11,R1,1,7,0,0,0,0,0,,1,0.7922080993652344
0.11,R1,1,8,0,0,0,0,0,,1,0.8472940528392792
0.11,R1,1,9,0,0,0,0,0,,1,0.7992026662826538
0.11,R1,1,10,0,0,0,0,0,,1,0.8816794180870056
0.11,R1,1,11,1,1,0,0,1,,1,-0.03511304914951324
0.11,R1,1,12,1,1,1,0,0,10720.0,0,-0.713381269145757
0.11,R1,1,13,0,0,0,0,0,,1,0.7682834047079087
0.11,R1,1,14,1,1,1,0,0,7520.0,0,-0.8040071678161621
0.11,R1,1,15,0,0,0,0,0,,1,0.848154878616333
0.11,R1,2,0,0,0,0,0,0,,1,0.6280135810375214
0.11,R1,2,1,0,0,0,0,0,,1,0.8896757066249847
0.11,R1,2,2,0,0,0,0,0,,1,0.878275408744812
0.11,R1,2,3,0,0,0,0,1,,1,0.11979641079902649
0.11,R1,2,4,1,1,1,0,0,14080.0,0,-0.8258697199821472
0.11,R1,2,5,0,0,0,0,0,,1,0.9421954584121705
0.11,R1,2,6,0,0,0,0,0,,1,0.8808496618270873
0.11,R1,2,7,0,0,0,0,0,,1,0.829697561264038
0.11,R1,2,8,0,0,0,0,0,,1,0.809763777256012
0.11,R1,2,9,1,1,1,0,0,13600.0,0,-0.8074832904338837
0.11,R1,2,10,0,0,0,0,0,,1,0.8413385534286499
0.11,R1,2,11,0,0,0,0,0,,1,0.7526918530464173
0.11,R1,2,12,0,0,0,0,0,,1,0.7659266629815101
0.11,R1,2,13,0,0,0,0,0,,1,0.8329526603221893
0.11,R1,2,14,0,0,0,0,0,,1,0.7104678308963776
0.11,R1,2,15,0,0,0,0,0,,1,0.829767529964447
0.11,R1,3,0,1,1,1,0,0,9360.0,0,-0.7990982604026794
0.11,R1,3,1,0,0,0,0,0,,1,0.7864518439769745
0.11,R1,3,2,0,0,0,0,0,,1,0.8135182344913483
0.11,R1,3,3,0,0,0,0,0,,1,0.7222018465399742
0.11,R1,3,4,0,0,0,0,0,,1,0.817457515001297
0.11,R1,3,5,0,0,0,0,0,,1,0.8543402659893036
0.11,R1,3,6,0,0,0,0,0,,1,0.8768010330200195
0.11,R1,3,7,0,0,0,0,0,,1,0.8935593223571777
0.11,R1,3,8,0,0,0,0,0,,1,0.8636663222312927
0.11,R1,3,9,0,0,0,0,0,,1,0.693290812522173
0.11,R1,3,10,1,1,0,0,1,,1,-0.010174301266670228
0.11,R1,3,11,1,1,1,1,0,12880.0,0,-0.7398439073562622
0.11,R1,3,12,1,1,1,1,0,12000.0,0,-0.8301752185821534
0.11,R1,3,13,1,1,0,0,1,,1,-0.1970599952340126
0.11,R1,3,14,0,0,0,0,0,,1,0.8672149920463562
0.11,R1,3,15,0,0,0,0,0,,1,0.8296746361255646
0.11,R2,0,0,0,0,0,0,0,,1,0.7823011493682861
